time,ref_x,ref_y,actual_x,actual_y,error_x,error_y
1.0000905990600586,0.4044917666742689,0.2939156523438805,0.001759997162554748,2.703357766122812e-06,0.40273176951171413,0.29391294898611436
1.0200793743133545,0.40076858247314784,0.2989724791723541,0.001759997162554748,2.703357766122812e-06,0.3990085853105931,0.29896977581458795
1.0400588512420654,0.39698395923412494,0.30397982846037436,0.0021119949818465995,3.942395207424195e-06,0.39487196425227833,0.30397588606516696
1.0600366592407227,0.3931371001736294,0.3089388620213871,0.0021119949818465995,3.942395207424195e-06,0.3910251051917828,0.3089349196261797
1.0800974369049072,0.3892119359780818,0.31386950933818586,0.0021119949818465995,3.942395207424195e-06,0.3870999409962352,0.31386556694297846
1.1000418663024902,0.3852482374164846,0.3187221290834571,0.0021119949818465995,3.942395207424195e-06,0.383136242434638,0.3187181866882497
1.1200966835021973,0.3812016011128827,0.32355113863031704,0.0021119949818465995,3.942395207424195e-06,0.3790896061310361,0.32354719623510964
1.140047311782837,0.37711593108176045,0.32830408849774767,0.002495991556153901,5.564406384046007e-06,0.37461993952560657,0.3282985240913636
1.1600909233093262,0.37295154787404206,0.33302724053499905,0.002495991556153901,5.564406384046007e-06,0.3704555563178882,0.333021676128615
1.180069923400879,0.3687417232305089,0.3376826047474089,0.002495991556153901,5.564406384046007e-06,0.36624573167435504,0.33767704034102486
1.200059175491333,0.364471587366026,0.34228710464008033,0.002495991556153901,5.564406384046007e-06,0.3619755958098721,0.3422815402336963
1.220041036605835,0.360145569725048,0.3468359390366295,0.0029119863727913534,7.641069758923564e-06,0.3572335833522567,0.3468282979668706
1.2400739192962646,0.35575152097992047,0.35134150810923725,0.0029119863727913534,7.641069758923564e-06,0.35283953460712913,0.35133386703947833
1.2600805759429932,0.35130697286341656,0.35578562480452003,0.0029119863727913534,7.641069758923564e-06,0.3483949864906252,0.3557779837347611
1.2800440788269043,0.34681667809832983,0.3601641178585666,0.0029119863727913534,7.641069758923564e-06,0.3439046917255385,0.3601564767888077
1.3000693321228027,0.3422576747342486,0.36449922371042887,0.0033599787749622055,1.0250207008987904e-05,0.3388976959592864,0.36448897350341986
1.320058822631836,0.33765277482731776,0.36876903835790315,0.0033599787749622055,1.0250207008987904e-05,0.33429279605235557,0.36875878815089413
1.3400654792785645,0.33299058873814225,0.37298427287464203,0.0033599787749622055,1.0250207008987904e-05,0.32963060996318005,0.372974022667633
1.360011339187622,0.3282901909902666,0.3771280293210441,0.003839967936986991,1.3475782731886882e-05,0.3244502230532796,0.37711455353831225
1.38006591796875,0.3235121912830248,0.38123465489283054,0.003839967936986991,1.3475782731886882e-05,0.3196722233460378,0.3812211791100987
1.400080919265747,0.31869240683144295,0.3852728251875313,0.003839967936986991,1.3475782731886882e-05,0.31485243889445597,0.38525934940479944
1.4200630187988281,0.31383026844974193,0.3892435774740065,0.003839967936986991,1.3475782731886882e-05,0.30999030051275495,0.38923010169127464
1.440053939819336,0.30891648216456785,0.39315468590246794,0.003839967936986991,1.3475782731886882e-05,0.30507651422758086,0.3931412101197361
1.4600543975830078,0.30395157976709725,0.39700558831971866,0.0043519528375668085,1.7407904077295216e-05,0.29959962692953046,0.3969881804156414
1.4800963401794434,0.2989282306264555,0.40080158798904053,0.0043519528375668085,1.7407904077295216e-05,0.29457627778888873,0.40078418008496325
1.5001037120819092,0.293866266040381,0.4045276476132182,0.0043519528375668085,1.7407904077295216e-05,0.28951431320281423,0.4045102397091409
1.5226233005523682,0.2881131866557487,0.40864506809096535,0.0043519528375668085,1.7407904077295216e-05,0.2837612338181819,0.40862766018688806
